content_no,push_type,delivery_scene,source_image,bucket,endpoint,object_key,object_url,access,size_bytes,width,height,sha256,status,note
NOON-1230-02,greeting,GREETING_1230,图片和附件/image 10.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1230-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1230-02/v1.png,private-signed-url,2805691,1254,1254,479e15a6af5a2f53abeaa8a0303003101d4da3c3f03fc87362b71a12790e4fb0,UPLOADED_VERIFIED_PRIVATE,
NOON-1230-03,greeting,GREETING_1230,图片和附件/image 20.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1230-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1230-03/v1.png,private-signed-url,2477214,1254,1254,9c91ad5bb48af343191238ae54184703b064e24f07948b51c550f3f4c4fcefe5,UPLOADED_VERIFIED_PRIVATE,
NOON-1230-04,greeting,GREETING_1230,图片和附件/image 103.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1230-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1230-04/v1.png,private-signed-url,2663815,1254,1254,e72f05c238b39c8bc29d97cb550ba9fa4b08a1af03bfe553167c5bf25e322eef,UPLOADED_VERIFIED_PRIVATE,
NOON-1300-01,greeting,GREETING_1300,图片和附件/image 23.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1300-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1300-01/v1.png,private-signed-url,2632375,1254,1254,02aa4b809945fcb39884d525f3ed9fec54f26cb20fc28e21858a39b4f00f3b46,UPLOADED_VERIFIED_PRIVATE,
NOON-1300-02,greeting,GREETING_1300,图片和附件/image 60.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1300-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1300-02/v1.png,private-signed-url,2742349,1254,1254,40a36eb9efc0e8c56f9903d32205543ea1713e4d8e3ede246f88ef42fcc4f3d9,UPLOADED_VERIFIED_PRIVATE,
NOON-1300-03,greeting,GREETING_1300,图片和附件/image 90.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1300-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1300-03/v1.png,private-signed-url,2398430,1254,1254,da72a534bdb844b61997c781b10f51333f0d90937155e44abfd8ef8c05bd9fd6,UPLOADED_VERIFIED_PRIVATE,
NOON-1300-04,greeting,GREETING_1300,图片和附件/image 43.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1300-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1300-04/v1.png,private-signed-url,2598754,1254,1254,14fcee9556aaa8254db964e7ae43e46a8ee92e0020568e44e5c7c7a65adaa6da,UPLOADED_VERIFIED_PRIVATE,
PM-1800-01,greeting,GREETING_1800,图片和附件/image 82.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1800-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1800-01/v1.png,private-signed-url,2642842,1254,1254,7f49925a591011d33f2f657034c9a5897b0f7df782152d7832f7cae51084951b,UPLOADED_VERIFIED_PRIVATE,
PM-1800-02,greeting,GREETING_1800,图片和附件/image 30.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1800-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1800-02/v1.png,private-signed-url,2772150,1254,1254,4934b7724932ed44414fbc94676dc5aa93d684cf4d319b3f691f089d02844d63,UPLOADED_VERIFIED_PRIVATE,
PM-1800-03,greeting,GREETING_1800,图片和附件/image 99.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1800-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1800-03/v1.png,private-signed-url,2692812,1254,1254,e0ba9d13016ab45ca5889d2d0231f7e9251fc1ec05dd099f4257800704460f1d,UPLOADED_VERIFIED_PRIVATE,
PM-1830-01,greeting,GREETING_1830,图片和附件/image 3.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1830-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1830-01/v1.png,private-signed-url,2652617,1254,1254,477dbf76e3ac206b246a8141b333935f1ef98ffbfc37936f20f7379d4a43f21c,UPLOADED_VERIFIED_PRIVATE,
PM-1830-02,greeting,GREETING_1830,图片和附件/image 53.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1830-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1830-02/v1.png,private-signed-url,2618858,1254,1254,84dff487da5661369f6578829b797eb693d24d64905d0d59c7bcda30c1f503db,UPLOADED_VERIFIED_PRIVATE,
PM-1830-03,greeting,GREETING_1830,图片和附件/image 72.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/pm-1830-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/pm-1830-03/v1.png,private-signed-url,2852446,1254,1254,6736ddd860b9bffc0d42cf7c4493c06d1251e9df29e9b37992fd4705760751d1,UPLOADED_VERIFIED_PRIVATE,
